,,Similarity
  μmサイズの疲労摩耗粒子    検出する,  ~μmサイズの金属片    検出する,0.334723291933
      この摩耗粒子なる,  発生した摩耗粒子    検出する,0.334230988335
    摩耗  厳しい,摩耗      考える,0.333996252305
  発生したμmサイズの摩耗粒子    検出する,  ~μmサイズの金属片    検出する,0.333003793975
   新油値の.mgKOH/g以内   ある,      油値高い,0.332574490276
      NAS級なる,    清浄な状態 NAS級する,0.33243737062
    潤滑状態  与える,    正常な潤滑状態  ある,0.330859373915
  シビア粒子    厳しい,    粒子  ある,0.330614800511
    潤滑状態  与える,  厳しい潤滑状態    発生する,0.330276343587
      NAS級高い,    清浄な状態 NAS級する,0.329446938164
  摩耗  異物の影響 進行する,  摩耗    進行する,0.329188330149
    汚染度のデータ  ある,  汚染度    汚染する,0.328216771303
  配管の異常振動    発生する,  振動    増大する,0.328169660255
    Is値  高い,  Is値 限界値  達する,0.327787775291
    mサイズ  厳しい,  μmサイズの疲労摩耗粒子    検出する,0.327724676303
   当社推奨の管理限界値のNAS級以内計数汚染度計数汚染度  ある,  当社推奨の管理限界値NAS級 計数汚染度計数汚染度  上昇する,0.327298065076
  濃度    上昇する,  SOAP   濃度なる,0.326874346175
銅がppmアンチモン    混入する,ppm アンチモン  錫・エンジン部品リン 検出する,0.326544164828
    多く観察された粒子  厳しい,  シビア粒子    厳しい,0.326524104487
 ppm錫    混入する,ppm アンチモン  錫・エンジン部品リン 検出する,0.325777303408
 μm未満のラビング粒子     混入する,  μm未満の鉄系摩耗粒子    厳しい,0.325130036766
    mサイズ  厳しい,  発生したμmサイズの摩耗粒子    検出する,0.325099124227
  油    変色する,   油   する,0.324128141667
      摩耗粒子なる,  これらの摩耗粒子    検出する,0.324051539335
  摩耗粒子    検出する,      これらの摩耗粒子なる,0.324051539335
  観察された粒子    検出する,    粒子  ある,0.323077886753
    軸受メタル  深い,軸受メタルの摩耗の進行      懸念する,0.322965595161
   当社推奨の管理限界値の.mgKOH/g以内   ある,  当社推奨の管理限界値 重量汚染度  上昇する,0.322873565107
  全酸価 ．粘度  良好,  全酸価のデータ 良好の範囲  ある,0.322838774386
    潤滑状態  与える,     正常な潤滑状態 発生する,0.32275939766
    疲労摩耗  進行する,    摩耗の進行  進行する,0.322027286096
  フェログラフィーのIs値    厳しい,      Is値なる,0.32199612016
  油の余寿命    不明,   十二分余寿命  ある,0.321818562385
  摩耗  水分の影響 進行する,  摩耗    進行する,0.321660362999
  シビア粒子    検出する,  ~μmサイズのシビア粒子    検出する,0.321297044108
   シビア粒子   検出する,  ~μmサイズのシビア粒子    検出する,0.321297044108
銅がppmアンチモン    混入する,ppm アンチモン  カルシウム・添加剤アルミニウム 検出する,0.321268400552
      フェログラフィーのIs値がのマイナス乗低下する,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.320770137025
  フレーキング  転動面 発生する,フレーキング      懸念する,0.319298877917
  汚染度    高い,    汚染度のデータ  ある,0.319042654035
  フェログラフィーのIs値    厳しい,    Is値  高い,0.318402388946
   清浄な状態 状況 保持する,   清浄   する,0.318321012367
  重量汚染度    上昇する,    今回の重量汚染度  増加する,0.318237088463
    重量汚染度  上昇する,    今回の重量汚染度  増加する,0.318237088463
  全酸価 粘度 IR良好,  全酸価のデータ 良好の範囲  ある,0.317774459227
  スラッジの増加    ある,  粘着性 このスラッジ  ある,0.317573415149
  摩耗粒子などのコンタミナントの増加    なる,  発生したコンタミナント フィルタ  捕捉する,0.317434935291
      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,     これ異常摩耗の早期発見パラメータである摩耗過酷度がの乗高い,0.316267111826
    汚染度のデータ  ある,  汚染度    上昇する,0.316188127458
  Is値    上昇する,  フェログラフィーのIs値    厳しい,0.316094695508
  μmフィルタの目詰まり    発生する,  目詰まりオフラインフィルタ   発生する,0.315260056271
    今回の重量汚染度  増加する,    重量汚染度  低下する,0.314759458817
  全酸価 水分 IR良好,  全酸価のデータ 良好の範囲  ある,0.31472160953
      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,  潤滑状態   フェログラフィーのIs値なる,0.314693347714
    粘度  良好,  全酸価 ．粘度  良好,0.31419590426
  全酸価 ．粘度  良好,  粘度    良好,0.31419590426
  消泡性能    低下する,    消泡性能の改善  ある,0.313889716538
   油   する,  更油    高い,0.313557847792
    安定した状態  ある,    軽微な状態  ある,0.313329701236
  油の添加剤成分の亜鉛    検出する,  亜鉛    劣化する,0.312742098529
  亜鉛    劣化する,  油の添加剤成分である亜鉛    検出する,0.312742098529
    濃度  増加する,  SOAP   濃度なる,0.312685005841
  濃度    増加する,  SOAP   濃度なる,0.312685005841
NAS級  当社推奨の管理限界値内重量汚染度  ある,  当社推奨の管理限界値 重量汚染度  上昇する,0.312393564544
  μmフィルタの目詰まり    発生する,  目詰まり    引き起こす,0.31043185741
     摩耗 発生する,  摩耗の進行    進行する,0.310092526261
     摩耗 発生する,    摩耗の進行  進行する,0.310092526261
    今回の粘度  低下する,    今回の重量汚染度  増加する,0.309891890955
  当社推奨の管理限界値    上昇する,   当社推奨の管理限界値のNAS級以内計数汚染度計数汚染度  ある,0.309454632884
    フレーキング  進行する,    摩耗の進行  進行する,0.308715322885
  スラッジの増加    ある,  ％のスラッジ    除去する,0.308160345713
  摩耗粒子    検出する,  発生したμmサイズの摩耗粒子    検出する,0.307144525537
  発生した摩耗粒子    検出する,  μmサイズの摩耗粒子    検出する,0.307144525537
  スラッジ    増加する,  粘着性 このスラッジ  ある,0.306944354359
  油中のスラッジ    なる,  ％のスラッジ    除去する,0.306539996263
  フレーキングの痕跡    検出する,    フレーキング  進行する,0.306503945726
    今回のIs値  高い,    今回の重量汚染度  増加する,0.30647056335
    今回の水分  低下する,    今回の重量汚染度  増加する,0.306035927881
  発生したμmサイズの摩耗粒子    検出する,  この摩耗粒子    発生する,0.304098300206
   濃度   出る,  SOAP   濃度なる,0.303133159697
ppm 錫  錫・エンジン部品リン 検出する,ppm 錫  クランクメタルの摩耗SOAP-T 検出する,0.302994215767
      Is値なる,    今回のIs値  高い,0.302822493207
    正常な潤滑状態  ある,  異常の兆候 潤滑状態  ある,0.302714951108
NAS級  当社推奨の管理限界値内計数汚染度  ある,  当社推奨の管理限界値 計数汚染度  上昇する,0.301758520126
銅がppm錫    混入する,ppm 銅  クランクメタルの摩耗SOAP-T 検出する,0.301205157787
銅がppm鉄    混入する,ppm 銅  錫・エンジン部品リン 検出する,0.300689567139
